claim_id,claim,answer_locator,provenance,reproducible,input_checked,method_note,status,source_locator,claims_array_note,agent_quote,evaluation_kind
A1-01,"20+20 trajectories; 20–1020 ns; 1001 points, 1 ns stride; trajectory is statistical unit",AGENT_RAW/HSP90_Q01_A_8bb1da99/answer.md; section matching Context,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: The delivered time axis and denominator agree.,VERIFIED,common/HSP90_SOURCE_AND_RUN_CARD.json; FIELD_DEFINITIONS.md,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
A1-02,"Both signed readouts positive=open-directed, both negative=closed-directed; other=conflict",AGENT_RAW/HSP90_Q01_A_8bb1da99/answer.md; section matching Direction definition,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Operational signs are distinct from paper-native state labels.,VERIFIED,common/FIELD_DEFINITIONS.md:7,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
A1-03,Departure reference is first persistent direction; return is rule- and window-specific,AGENT_RAW/HSP90_Q01_A_8bb1da99/answer.md; section matching Event semantics,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Does not prove a physical departure or absence of all returns.,VERIFIED,common/FIELD_DEFINITIONS.md:13-17,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
A1-04,Open starts stable; closed starts stable/open-like/neither; current proxy differs from paper native NOE/structural definitions,AGENT_RAW/HSP90_Q01_A_8bb1da99/answer.md; section matching Paper relationship,AUTHOR_REPORT,NOT_ATTEMPTED,YES,"DEVELOPER_JUDGMENT: Qualitative compatibility, not an exact reproduction.",VERIFIED,article pp.5–6 Fig.4; hidden/literature_claims.json:HPA-02/03/04,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
A1-05,"No equilibrium populations, physical rates or unique mechanism established by these derived tables",AGENT_RAW/HSP90_Q01_A_8bb1da99/answer.md; section matching Inference limits,FROM_CITED_FILE,NOT_ATTEMPTED,YES,"DEVELOPER_JUDGMENT: Bounded interpretation of a finite, seeded sample.",VERIFIED,hidden/grading_rubric.md:7; article p.6 non-ergodicity,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
A1-06,Current packet excludes raw coordinate arrays/full native NOE inputs,AGENT_RAW/HSP90_Q01_A_8bb1da99/answer.md; section matching Data availability,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Packet-local limit; does not assert global data unavailable.,VERIFIED,common/SOURCE_INVENTORY.json:missing,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
A1-07,"Proposed coordinate/NOE correspondence, persistent state definitions and uncertainty analysis",AGENT_RAW/HSP90_Q01_A_8bb1da99/answer.md; section matching Next action,AGENT_PROPOSAL,NOT_ATTEMPTED,NO,"DEVELOPER_JUDGMENT: Proposed native-coordinate/NOE correspondence addresses the remaining gap. Not executed is a role label, not failure; broader kinetics proposals need separate scope.",NOT_INDEPENDENTLY_VERIFIED,answer.md:next action,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,使用原始坐标，以论文相关的open/closed参考集合、特征NOE违例、helix-3/4重定向和helix-5折叠状态建立预先定义、带滞后的连续状态；以**轨迹**为统计单位比较closed→open首达事件，处理删失并给出不确定性。这样才能区分真正达到论文open构象与仅几何读数朝开放方向变化，也能检验中间态是否占主导。,DESIGN_PROPOSAL
A1-08,"5/20,4/20,1/20 closed departures versus 0/20 open; no returns",AGENT_RAW/HSP90_Q01_A_8bb1da99/answer.md; section matching Threshold results,FROM_AGENT_COMPUTATION,YES,YES,DEVELOPER_JUDGMENT: Correct finite-window counts.,VERIFIED,replay/code_02.py; hidden/reference_values.json,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
A1-09,At threshold5 closed first-C15/20 and first-O5/20; open first-O20/20,AGENT_RAW/HSP90_Q01_A_8bb1da99/answer.md; section matching Initial directions,FROM_AGENT_COMPUTATION,YES,YES,DEVELOPER_JUDGMENT: Correct source-group denominator.,VERIFIED,replay/code_02.py; direct_source_check.json,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
A1-10,Closed C1/O0; open C0/O2; no trajectory contains both C and O,AGENT_RAW/HSP90_Q01_A_8bb1da99/answer.md; section matching Core sequence,FROM_AGENT_COMPUTATION,YES,YES,DEVELOPER_JUDGMENT: No ordered C→O exists under this core assignment; almost all frames U.,VERIFIED,"replay/code_02.py,code_04.py; direct_source_check.json",Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
A1-11,5 saved points span4 ns,AGENT_RAW/HSP90_Q01_A_8bb1da99/answer.md; section matching Frame convention,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Correct distinction.,VERIFIED,common/FIELD_DEFINITIONS.md:17,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
A1-12,Paper discusses helix5 refolding and intermediates as limits on full transition interpretation,AGENT_RAW/HSP90_Q01_A_8bb1da99/answer.md; section matching Helix/intermediate interpretation,AUTHOR_REPORT,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Author interpretation retained; no local helix calculation claimed.,VERIFIED,article pp.7–8; text409–453,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
