claim_id,claim,answer_locator,provenance,reproducible,input_checked,method_note,status,source_locator,claims_array_note
A2-01,"20+20 trajectories; 20–1020 ns; 1001 points, 1 ns stride; trajectory is statistical unit",AGENT_RAW/HSP90_Q01_A_9ff587f6/answer.md; section matching Context,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: The delivered time axis and denominator agree.,VERIFIED,common/HSP90_SOURCE_AND_RUN_CARD.json; FIELD_DEFINITIONS.md,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
A2-02,"Both signed readouts positive=open-directed, both negative=closed-directed; other=conflict",AGENT_RAW/HSP90_Q01_A_9ff587f6/answer.md; section matching Direction definition,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Operational signs are distinct from paper-native state labels.,VERIFIED,common/FIELD_DEFINITIONS.md:7,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
A2-03,Departure reference is first persistent direction; return is rule- and window-specific,AGENT_RAW/HSP90_Q01_A_9ff587f6/answer.md; section matching Event semantics,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Does not prove a physical departure or absence of all returns.,VERIFIED,common/FIELD_DEFINITIONS.md:13-17,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
A2-04,Open starts stable; closed starts stable/open-like/neither; current proxy differs from paper native NOE/structural definitions,AGENT_RAW/HSP90_Q01_A_9ff587f6/answer.md; section matching Paper relationship,AUTHOR_REPORT,NOT_ATTEMPTED,YES,"DEVELOPER_JUDGMENT: Qualitative compatibility, not an exact reproduction.",VERIFIED,article pp.5–6 Fig.4; hidden/literature_claims.json:HPA-02/03/04,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
A2-05,"No equilibrium populations, physical rates or unique mechanism established by these derived tables",AGENT_RAW/HSP90_Q01_A_9ff587f6/answer.md; section matching Inference limits,FROM_CITED_FILE,NOT_ATTEMPTED,YES,"DEVELOPER_JUDGMENT: Bounded interpretation of a finite, seeded sample.",VERIFIED,hidden/grading_rubric.md:7; article p.6 non-ergodicity,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
A2-06,Current packet excludes raw coordinate arrays/full native NOE inputs,AGENT_RAW/HSP90_Q01_A_9ff587f6/answer.md; section matching Data availability,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Packet-local limit; does not assert global data unavailable.,VERIFIED,common/SOURCE_INVENTORY.json:missing,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
A2-07,"Proposed coordinate/NOE correspondence, persistent state definitions and uncertainty analysis",AGENT_RAW/HSP90_Q01_A_9ff587f6/answer.md; section matching Next action,NOT_LOCATED,NOT_ATTEMPTED,NO,"DEVELOPER_JUDGMENT: Future proposals, not executed results; extra trajectories or forward model alone would not establish validated kinetics.",NOT_INDEPENDENTLY_VERIFIED,answer.md:next action,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
A2-08,At5 points11/20 closed first-C and9/20 first-O,AGENT_RAW/HSP90_Q01_A_9ff587f6/answer.md; section matching Initial directions,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Actual15/20C and5/20O; answer mixes thresholds and counts.,MISMATCH,hidden/reference_values.json,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
A2-09,4/20 then5/20 stated for5-frame threshold,AGENT_RAW/HSP90_Q01_A_9ff587f6/answer.md; section matching Departure contradiction,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Actual5/20. Correct value later does not remove the contradictory final prose.,MISMATCH,hidden/reference_values.json,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
A2-10,50点时无opposite candidate,AGENT_RAW/HSP90_Q01_A_9ff587f6/answer.md; section matching 50-frame departures,FROM_CITED_FILE,NOT_ATTEMPTED,YES,"DEVELOPER_JUDGMENT: Actual1/20, ES16 at402ns. Core conclusion threshold sensitivity is quantitatively wrong.",MISMATCH,hidden/reference_values.json:ES16 threshold50,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
A2-11,20-frame4/20; open0/20; returns0,AGENT_RAW/HSP90_Q01_A_9ff587f6/answer.md; section matching Other counts,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: These portions agree with source.,VERIFIED,hidden/reference_values.json,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
A2-12,Exact core thresholds rounded; most strict_core_frames0 with few1,AGENT_RAW/HSP90_Q01_A_9ff587f6/answer.md; section matching Core bounds,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Correct partial reading without a numerical sequence calculation.,VERIFIED,state_core_definition.json; trajectory_time_anatomy.tsv,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
A2-13,Read source tables and text; no Python tool computation,AGENT_RAW/HSP90_Q01_A_9ff587f6/answer.md; section matching Actual analysis,FROM_CITED_FILE,NOT_ATTEMPTED,YES,"DEVELOPER_JUDGMENT: Answer describes reading, not a falsely claimed Python run. Manual summary nevertheless contains errors.",VERIFIED,events.jsonl; replay_summary.json,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
